delta_power,delta_rel,theta_power,theta_rel,alpha_power,alpha_rel,beta_power,beta_rel,gamma_power,gamma_rel,spectral_entropy,peak_frequency,mean_frequency,amplitude_mean,amplitude_std,rms,delta_beta_ratio,theta_alpha_ratio,skewness,kurtosis,zero_crossing_rate,hjorth_activity,hjorth_mobility,hjorth_complexity
44.76894,0.274659,43.034146,0.345021,18.483106,0.24688,14.034723,0.11694,0.935959,0.0165,2.212978,1.547647,8.193639,13.417985,15.694067,9.440169,1.953158,3.43744,0.030976,0.393529,0.037092,204.121042,0.111172,3.191198
0.0,0.351956,32.37992,0.383518,23.883379,0.147546,22.844182,0.104414,0.0,0.012565,2.166519,5.645469,10.576355,5.537984,14.766098,15.620191,6.520524,0.549099,0.562428,0.43702,0.026725,809.27125,0.120053,2.807946
93.760452,0.362434,130.312135,0.310074,2.237045,0.168571,13.432452,0.158921,2.889963,0.0,2.099159,3.800881,4.998332,15.436003,15.016972,20.600428,6.949652,2.754306,-0.400399,1.307531,0.032588,464.76708,0.10587,3.675461
40.622775,0.288483,22.280858,0.306358,16.153773,0.191034,16.156022,0.199485,6.570129,0.01464,1.891586,3.287632,9.204756,17.148268,19.097662,10.151571,1.396748,1.068182,-0.126661,1.213804,0.028227,474.672578,0.111069,3.566963
83.894019,0.322571,56.25962,0.272862,29.262664,0.194034,17.115215,0.160996,2.821726,0.049537,1.985768,1.888221,7.327162,15.776979,13.633253,11.934198,0.0,3.732216,0.175921,1.59004,0.036135,953.575917,0.102254,3.821494
23.377841,0.305957,84.496558,0.306443,10.144173,0.132587,13.963199,0.19987,10.695278,0.055142,2.490522,4.169027,3.015152,8.973706,17.178328,12.715189,6.514392,1.982039,-0.020376,0.837719,0.024414,555.617399,0.102998,3.517023
43.462438,0.29504,62.533574,0.379743,30.11556,0.139617,36.163728,0.143341,0.0,0.042258,2.169065,2.274078,7.146665,12.234458,16.322452,13.697364,5.016177,2.047518,-0.232889,0.95618,0.032878,374.901201,0.050408,3.563313
138.704712,0.307502,48.788336,0.358656,27.816661,0.174997,30.56043,0.158845,4.454804,0.0,1.96181,3.261017,8.902493,18.888023,13.706098,12.976751,1.982237,3.323756,-0.207598,-0.266282,0.025656,409.174227,0.099275,2.608281
32.733527,0.432843,66.969376,0.335351,23.564671,0.152232,15.28386,0.058457,0.642771,0.021116,1.915778,1.710349,7.111152,19.395746,13.185263,17.360967,3.396816,1.358615,0.315718,0.484514,0.027032,71.54431,0.105503,4.886093
0.0,0.306041,32.166491,0.432946,17.063575,0.145953,11.352224,0.104751,0.153913,0.010309,1.946971,0.353416,6.623817,7.926551,13.012358,18.719524,7.825395,1.597503,-0.676327,0.173654,0.023001,355.279883,0.08426,3.161498
20.619769,0.366,12.336131,0.368964,33.330959,0.198838,6.086738,0.058455,1.157203,0.007743,1.886947,1.765165,5.886227,10.543575,13.610996,15.409583,10.200322,3.306367,-0.119372,0.461507,0.022296,81.37079,0.095848,2.741468
8.275383,0.351753,22.108344,0.403894,40.936736,0.12671,12.46344,0.108805,1.188891,0.008838,2.059426,2.841793,7.432649,7.685666,15.910931,14.657503,4.472178,3.248924,0.441775,0.657481,0.026326,148.120238,0.078896,5.012106
11.571905,0.189102,55.303104,0.362269,3.605647,0.287478,3.99084,0.149625,1.578483,0.011527,2.035505,2.638801,7.841007,9.475525,12.204328,16.105687,8.843038,2.837497,0.138586,0.132578,0.027185,314.061955,0.080523,3.52375
2.08922,0.330237,57.587988,0.310166,12.13423,0.236793,4.721303,0.114421,0.984283,0.008382,2.125353,4.356706,5.242008,11.845913,19.265414,13.990673,9.491061,2.862689,0.170705,0.120508,0.029693,306.070715,0.061489,3.281419
51.989418,0.366214,51.571265,0.385219,22.118534,0.178636,2.674262,0.058018,0.090442,0.011913,1.788358,2.214726,5.469166,9.334421,9.177451,16.602536,9.505753,2.120526,-0.082495,0.742221,0.023882,177.324156,0.112195,4.078321
59.190365,0.451226,35.609137,0.32322,18.218068,0.151685,14.90366,0.063467,1.652587,0.010401,1.970711,5.584745,5.871941,6.091929,13.057057,16.535735,10.565017,0.970103,-0.193156,-0.280981,0.034167,213.391981,0.120679,3.9961
2.90999,0.391943,81.562543,0.402084,14.056216,0.1321,9.090177,0.070934,0.525053,0.002939,2.0457,3.471619,6.652552,14.718496,14.45108,14.598785,6.837782,3.238218,0.255758,0.147589,0.024522,422.494661,0.094682,3.844364
12.306907,0.437627,33.838349,0.342615,6.631558,0.131786,5.884452,0.071844,0.583402,0.016127,1.588584,2.100262,3.531092,11.639209,15.647035,17.596061,10.809016,4.819146,0.080486,-0.248192,0.014566,90.688763,0.061353,6.262447
37.037165,0.397461,25.690935,0.441616,11.262927,0.121857,6.064371,0.023402,0.683193,0.015664,1.680598,3.084336,5.533448,15.026625,13.516004,15.127377,9.971041,3.111883,0.407805,-0.160623,0.018133,258.847128,0.066131,6.271317
28.33925,0.451642,21.29765,0.37552,11.314189,0.081508,3.82291,0.086115,1.111484,0.005215,1.990126,2.282173,6.588344,11.031771,14.694811,13.91819,13.324638,2.923987,-0.180305,0.069009,0.017519,181.320833,0.060646,6.948187
10.318419,0.379049,15.218025,0.358173,9.194113,0.168083,3.783271,0.08525,0.050431,0.009445,1.403567,3.575854,4.476122,9.700144,10.861808,16.202147,8.401011,3.475642,0.187843,-0.642611,0.0142,186.349077,0.058289,8.188393
40.914593,0.462645,14.256761,0.338191,0.473192,0.148558,2.784308,0.045299,0.584712,0.005307,1.801954,2.430034,4.944453,10.975045,11.137934,11.593684,10.56279,3.204548,0.316793,-0.011181,0.027019,156.944043,0.072895,5.230556
2.045277,0.373366,19.064209,0.321542,5.794926,0.193637,4.4591,0.101704,0.0,0.009751,1.763323,2.500416,6.038065,11.112317,17.567117,12.67705,14.470606,2.735515,0.241404,-0.025795,0.02142,93.088405,0.070404,4.603342
41.710559,0.403469,18.877855,0.431085,8.555992,0.104468,2.184165,0.052084,0.736585,0.008893,1.736301,1.284656,4.380355,10.391992,12.113247,15.918346,13.252231,3.539057,0.130462,0.015118,0.031095,154.476166,0.062468,6.613249
28.104937,0.596434,17.157345,0.219048,11.348001,0.125719,4.184538,0.046866,0.026658,0.011932,1.931654,0.0,6.983297,6.981729,16.839776,15.574913,3.555617,2.893391,0.286777,-0.212258,0.01355,243.895564,0.061867,5.211083
45.0349,0.244469,34.883441,0.320705,20.850581,0.239314,33.671999,0.185083,2.636845,0.010429,1.929533,5.265861,7.57329,12.62015,13.465485,14.693736,4.031086,1.58627,-0.306096,0.259505,0.045343,316.434983,0.181324,2.709872
48.867194,0.294987,61.35795,0.219595,27.673412,0.267712,12.358897,0.188607,3.813233,0.029098,2.478785,2.932112,9.674251,12.850646,15.787045,16.876342,3.99306,2.322061,-0.247248,0.485842,0.041474,186.827346,0.136034,2.705935
41.653841,0.293101,78.910651,0.261394,13.634774,0.280283,43.915519,0.110547,3.290378,0.054675,2.556904,4.490823,7.971262,11.396172,16.64861,21.67324,2.538162,2.409478,-0.304192,0.578437,0.033364,242.981836,0.172911,3.873076
50.609037,0.213278,71.337929,0.328919,37.63939,0.267689,37.834568,0.157071,0.0,0.033043,2.364843,3.441908,11.188829,14.426065,16.562973,16.633566,0.120934,2.81046,-0.20686,0.597938,0.057974,344.040641,0.12718,3.846901
48.593142,0.224426,121.147248,0.274489,36.92496,0.194643,37.002369,0.261584,7.270177,0.044859,2.408517,6.215655,5.466197,14.608678,12.123691,13.159741,6.416895,0.920745,-0.292007,0.132786,0.036824,47.147402,0.11822,3.95451
45.193391,0.253812,78.005504,0.31871,48.79453,0.233436,26.299521,0.146942,0.872753,0.0471,2.429871,3.411224,11.130488,13.00459,15.047066,17.394823,0.030011,1.740868,0.286761,0.159029,0.041151,379.924611,0.169762,2.932542
31.429673,0.234276,57.243965,0.250953,24.394689,0.195534,41.435461,0.272084,10.28893,0.047152,2.139839,3.19129,9.136254,9.548404,16.535674,18.004175,4.456262,1.644966,0.066931,0.500977,0.035974,258.908373,0.12129,3.439852
0.0,0.078372,65.080749,0.301067,14.810719,0.265143,22.442486,0.257696,0.952653,0.097723,2.163376,3.343043,8.902544,14.428819,14.852984,17.319347,1.950733,3.247153,-0.002094,0.292445,0.048351,132.50207,0.11023,2.861806
